2012,april
1st,C,C,C,C,C
2nd,C,08AUG08,15JUN08,C,C
3rd,01JUL10,01JUL10,22SEP03,01JUL10,01DEC06
Other Workers,01JUL10,15JUN04,22SEP03,01JUL10,01DEC06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,october
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15SEP08,15JUN08,C,C
3rd,01JUL10,01JUL10,22SEP03,01JUL10,15DEC06
Other Workers,01JUL10,22SEP04,22SEP03,01JUL10,15DEC06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,november
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08OCT08,15JUN08,C,C
3rd,01OCT10,01OCT10,22SEP03,01OCT10,15DEC06
Other Workers,01OCT10,01OCT10,22SEP03,01OCT10,15DEC06
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2013,december
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08NOV08,15NOV04,C,C
3rd,01OCT11,01OCT11,01SEP03,01OCT11,08JAN07
Other Workers,01OCT11,01OCT11,01SEP03,01OCT11,08JAN07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,january
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08DEC08,15NOV04,C,C
3rd,01APR12,01APR12,01SEP03,01APR12,15FEB07
Other Workers,01APR12,01APR12,01SEP03,01APR12,15FEB07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,february
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08JAN09,15NOV04,C,C
3rd,01JUN12,01JUN12,01SEP03,01JUN12,15APR07
Other Workers,01JUN12,01JUN12,01SEP03,01JUN12,15APR07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,march
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15FEB09,15NOV04,C,C
3rd,01SEP12,01SEP12,15SEP03,01SEP12,01MAY07
Other Workers,01SEP12,01SEP12,15SEP03,01SEP12,01MAY07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08MAR09,15NOV04,C,C
3rd,01OCT12,01OCT12,15SEP03,01OCT12,15JUN07
Other Workers,01OCT12,01OCT12,15SEP03,01OCT12,15JUN07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,may
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15APR09,15NOV04,C,C
3rd,01OCT12,01OCT12,01OCT03,01OCT12,01NOV07
Other Workers,01OCT12,01OCT12,01OCT03,01OCT12,01NOV07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,june
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,22MAY09,15NOV04,C,C
3rd,01APR11,01OCT06,15OCT03,01APR11,01JAN08
Other Workers,01APR11,01JAN03,15OCT03,01APR11,01JAN08
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,july
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUL09,01SEP08,C,C
3rd,01APR11,01OCT06,01NOV03,01APR11,01JAN09
Other Workers,01APR11,01JAN03,01NOV03,01APR11,01JAN09
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,august
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08OCT09,22JAN09,C,C
3rd,01APR11,01NOV08,08NOV03,01APR11,01JUN10
Other Workers,01APR11,22JUL05,08NOV03,01APR11,01JUN10
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,september
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08OCT09,01MAY09,C,C
3rd,01APR11,01NOV08,08NOV03,01APR11,01APR11
Other Workers,01APR11,22JUL05,08NOV03,01APR11,01APR11
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,october
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15NOV09,01MAY09,C,C
3rd,01OCT11,01APR09,15NOV03,01OCT11,01OCT11
Other Workers,01OCT11,22JUL05,15NOV03,01OCT11,01OCT11
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,november
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,08DEC09,15FEB05,C,C
3rd,01JUN12,01JAN10,22NOV03,01JUN12,01JUN12
Other Workers,01JUN12,22JUL05,22NOV03,01JUN12,01JUN12
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2014,december
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN10,15FEB05,C,C
3rd,01NOV12,01JUN10,01DEC03,01NOV12,01NOV12
Other Workers,01NOV12,22JUL05,01DEC03,01NOV12,01NOV12
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2015,january
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01FEB10,15FEB05,C,C
3rd,01JUN13,01MAR11,15DEC03,01JUN13,01JUN13
Other Workers,01JUN13,22JUL05,15DEC03,01JUN13,01JUN13
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2015,february
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15MAR10,01SEP05,C,C
3rd,01JAN14,01SEP11,22DEC03,01JAN14,01JAN14
Other Workers,01JAN14,15AUG05,22DEC03,01JAN14,01JAN14
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2015,march
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01SEP10,01JAN07,C,C
3rd,01JUN14,22OCT11,01JAN04,01JUN14,01JUN14
Other Workers,01JUN14,15AUG05,01JAN04,01JUN14,01JUN14
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2015,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01APR11,01SEP07,C,C
3rd,01OCT14,01JAN11,08JAN04,01OCT14,01OCT14
Other Workers,01OCT14,15AUG05,08JAN04,01OCT14,01OCT14
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,C,C,C,C

2015,may
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUN12,15APR08,C,C
3rd,01JAN15,01MAY11,15JAN04,01JAN15,01JUL07
Other Workers,01JAN15,15NOV05,15JAN04,01JAN15,01JUL07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,01MAY13,C,C,C

2015,june
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUN13,01OCT08,C,C
3rd,15FEB15,01SEP11,22JAN04,15FEB15,01JAN05
Other Workers,15FEB15,01JAN06,22JAN04,15FEB15,01JAN05
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,01MAY13,C,C,C

2015,july
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01OCT13,01OCT08,C,C
3rd,01APR15,01SEP11,01FEB04,01APR15,U
Other Workers,01APR15,01JAN06,01FEB04,01APR15,U
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,01SEP13,C,C,C

2015,august
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,15DEC13,01OCT08,C,C
3rd,15JUL15,01JUN04,01JUN04,15JUL15,01JUN04
Other Workers,15JUL15,01JAN04,01JUN04,15JUL15,01JUN04
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thTargetedEmployment Areas/Regional Centersand Pilot Programs,C,01SEP13,C,C,C

2015,september
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN06,01JAN06,C,C
3rd,15AUG15,22DEC04,22DEC04,15AUG15,22DEC04
Other Workers,15AUG15,01JAN04,22DEC04,15AUG15,22DEC04
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,22SEP13,C,C,C
5thRegionalCenter(I5 and R5),C,22SEP13,C,C,C

2015,october
Employment-Based,All ChargeabilityAreas ExceptThose Listed,CHINA-mainlandborn,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN13,01JUL09,C,C
3rd,01SEP15,01OCT13,01JUL05,01SEP15,01JAN10
Other Workers,01SEP15,01JAN07,01JUL05,01SEP15,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th TargetedEmployment Areas/Regional Centersand Pilot Programs,C,01MAY15,C,C,C

2015,october
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN12,01MAY05,C,C
3rd,15AUG15,15OCT11,08MAR04,15AUG15,01JAN07
Other Workers,15AUG15,01JAN06,08MAR04,15AUG15,01JAN07
4th,C,C,C,C,C
Certain Religious Workers,U,U,U,U,U
5thNon-RegionalCenter(C5 and T5),C,08OCT13,C,C,C
5thRegionalCenter(I5 and R5),U,U,U,U,U

2015,november
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN13,01JUL09,C,C
3rd,01SEP15,01OCT13,01JUL05,01SEP15,01JAN10
Other Workers,01SEP15,01JAN07,01JUL05,01SEP15,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2015,november
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01FEB12,01AUG06,C,C
3rd,15AUG15,01JAN12,01APR04,15AUG15,15JUN07
Other Workers,15AUG15,01APR06,01APR04,15AUG15,15JUN07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,22NOV13,C,C,C
5thRegionalCenter(I5 and R5),C,22NOV13,C,C,C

2015,december
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN13,01JUL09,C,C
3rd,01SEP15,01OCT13,01JUL05,01SEP15,01JAN10
Other Workers,01SEP15,01JAN07,01JUL05,01SEP15,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2015,december
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01FEB12,01JUN07,C,C
3rd,01SEP15,15APR12,22APR04,01SEP15,01AUG07
Other Workers,01SEP15,01AUG06,22APR04,01SEP15,01AUG07
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,15DEC13,C,C,C
5thRegionalCenter(I5 and R5),C,15DEC13,C,C,C

2016,january
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN13,01JUL09,C,C
3rd,01JAN16,01OCT13,01JUL05,01JAN16,01JAN10
Other Workers,01JAN16,01JAN07,01JUL05,01JAN16,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2016,january
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01FEB12,01FEB08,C,C
3rd,01OCT15,01JUL12,15MAY04,01OCT15,01NOV07
Other Workers,01OCT15,01DEC06,15MAY04,01OCT15,01NOV07
4th,C,C,C,C,C
Certain Religious Workers,U,U,U,U,U
5thNon-RegionalCenter(C5 and T5),C,08JAN14,C,C,C
5thRegionalCenter(I5 and R5),U,U,U,U,U

2016,february
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JAN13,01JUL09,C,C
3rd,01JAN16,01OCT13,01JUL05,01JAN16,01JAN10
Other Workers,01JAN16,01JAN07,01JUL05,01JAN16,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2016,february
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01MAR12,01AUG08,C,C
3rd,01OCT15,01OCT12,15JUN04,01OCT15,08JAN08
Other Workers,01OCT15,22DEC06,15JUN04,01OCT15,08JAN08
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,15JAN14,C,C,C
5thRegionalCenter(I5 and R5),C,15JAN14,C,C,C

2016,march
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUN13,01JUL09,C,C
3rd,C,01MAY15,01JUL05,C,01JAN10
Other Workers,C,01AUG07,01JUL05,C,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2016,march
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01AUG12,15OCT08,C,C
3rd,01JAN16,01JUN13,15JUL04,01JAN16,15MAR08
Other Workers,01JAN16,01FEB07,15JUL04,01JAN16,15MAR08
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,22JAN14,C,C,C
5thRegionalCenter(I5 and R5),C,22JAN14,C,C,C

2016,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUN13,01JUL09,C,C
3rd,C,01MAY15,01JUL05,C,01JAN10
Other Workers,C,01AUG07,01JUL05,C,01JAN10
4th,C,C,C,C,C
Certain ReligiousWorkers,C,C,C,C,C
5th Non-RegionalCenter (C5 and T5),C,01MAY15,C,C,C
5th Regional Center(I5 and R5),C,01MAY15,C,C,C

2016,april
Employment- Based,All Chargeability Areas Except Those Listed,CHINA - mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01SEP12,08NOV08,C,C
3rd,15FEB16,15AUG13,08AUG04,15FEB16,01MAY08
Other Workers,15FEB16,01MAR07,08AUG04,15FEB16,01MAY08
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,01FEB14,C,C,C
5thRegionalCenter(I5 and R5),C,01FEB14,C,C,C

2016,may
Employ- ment based,All Charge- ability Areas Except Those Listed,CHINA- mainland born,EL SALVADOR GUATEMALA HONDURAS,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C,C
2nd,C,01SEP12,C,22NOV08,C,C
3rd,15FEB16,15AUG13,15FEB16,01SEP04,15FEB16,08AUG08
Other Workers,15FEB16,22APR07,15FEB16,01SEP04,15FEB16,08AUG08
4th,C,C,01JAN10,C,C,C
Certain Religious Workers,C,C,01JAN10,C,C,C
5thNon-RegionalCenter(C5 and T5),C,08FEB14,C,C,C,C
5thRegionalCenter(I5 and R5),C,08FEB14,C,C,C,C

2016,may
Employment- based,All Chargeability Areas Except Those Listed,CHINA- mainland born,INDIA,MEXICO,PHILIPPINES
1st,C,C,C,C,C
2nd,C,01JUN13,01JUL09,C,C
3rd,C,01MAY15,01JUL05,C,01JAN10
Other Workers,C,01APR08,01JUL05,C,01JAN10
4th,C,C,C,C,C
Certain Religious Workers,C,C,C,C,C
5thNon-RegionalCenter(C5 and T5),C,01MAY15,C,C,C
5thRegionalCenter(I5 and R5),C,01MAY15,C,C,C

2016,june
Employ- ment based,All Charge- ability Areas Except Those Listed,CHINA- mainland born,EL SALVADOR GUATEMALA HONDURAS,INDIA,MEXICO,PHILIPPINES
